SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY
CALSOFT,1335494016.0,MICRO CAP,21.600000381469727,120.0,3.2354703,0.32296002,3.905,0.88351,0.54057,5.351176299999867,12.812489799999865,Technology,Technology,Software - Application,2026-06-02,SaaS,0,1,1,99.51,99.51,96.83,98.83,99.51,98.91,ELITE GROWTH
LLOYDSME,1020420882432.0,LARGE CAP,1813.9000244140625,26.90049,6.9341865,0.36945,145.214,0.38871,0.2148,4.055,6.048,Misc,Basic Materials,Steel,2026-06-02,Steel,0,1,1,98.71,97.61,97.61,92.8,98.16,97.51,ELITE GROWTH
MCX,721420222464.0,LARGE CAP,2834.5,54.207306,17.143358,0.37883,0.113,0.73859,0.54818,2.0,2.912,Misc,Financial Services,Financial Data & Stock Exchanges,2026-06-02,Financial Data & Stock Exchanges,1,1,1,98.0,95.73,97.89,97.69,96.86500000000001,97.15,ELITE GROWTH
WEBELSOLAR,45539405824.0,SMALL CAP,104.88999938964844,15.027221,11.3162155,0.5137423209999978,20.729,0.30507,0.28873,1.321,1.443,Misc,Technology,Solar,2026-06-02,Solar,0,1,1,96.79,91.46,99.51,89.39,94.125,94.73,ELITE GROWTH
TIMEX,44115148800.0,SMALL CAP,437.0,58.50067,38.563362,0.5137423209999978,31.919,0.16803,0.094469994,0.737,6.946,Misc,Consumer Cyclical,Luxury Goods,2026-06-02,Luxury Goods,0,1,1,93.38,98.12,99.51,76.19,95.75,94.55,ELITE GROWTH
CUPID,172076236800.0,MID CAP,127.97000122070312,161.98734,38.120346,0.27297002,12.506,0.30211002,0.2894,1.124,2.142,Consumer,Consumer Defensive,Household & Personal Products,2026-06-02,FMCG – Personal Care,0,1,1,95.85,94.28,94.48,89.31,95.065,94.37,ELITE GROWTH
PNGSREVA,11929693184.0,SMALL CAP,376.3500061035156,13.237777,6.84024,0.21013,32.942,0.21965,0.14727001,1.389,2.668,Misc,Consumer Cyclical,Luxury Goods,2026-06-02,Luxury Goods,0,1,1,96.99,95.14,90.13,83.24,96.065,93.6,ELITE GROWTH
SOLEX,12920856576.0,SMALL CAP,1196.0999755859375,13.4605,6.932306,0.47055998,132.242,0.09936,0.05933,2.481,3.046,Misc,Technology,Solar,2026-06-02,Solar,0,1,0,98.32,95.77,98.67,57.36,97.04499999999999,93.4,ELITE GROWTH
SKMEGGPROD,12260241408.0,SMALL CAP,232.52999877929688,11.809547,3.61425,0.29677,35.857,0.25747,0.13509,0.589,4.151,Misc,Consumer Defensive,Packaged Foods,2026-06-02,Packaged Foods,0,1,1,90.76,96.71,95.73,86.1,93.735,93.37,ELITE GROWTH
VIVIANA,9289220096.0,MICRO CAP,925.0,46.134666,12.699939,0.5137423209999978,86.047,0.13649,0.099259995,1.396,1.826,Industrials,Industrials,Engineering & Construction,2026-06-02,Engineering & EPC,0,1,0,97.02,93.27,99.51,68.4,95.145,93.34,ELITE GROWTH
SHANTIGOLD,16525124608.0,SMALL CAP,229.2100067138672,10.806696,2.5403986,0.37335998,36.138,0.104270004,0.06909,1.216,3.624,Misc,Consumer Cyclical,Luxury Goods,2026-06-02,Luxury Goods,0,1,0,96.2,96.36,97.73,59.03,96.28,92.85,ELITE GROWTH
MODIS,6591459328.0,MICRO CAP,336.45001220703125,22.595701,4.2054677,0.22252001,4.026,0.14498,0.15413,1.582,1.922,Misc,Real Estate,Real Estate - Development,2026-06-02,Real Estate - Development,0,1,0,97.42,93.66,91.74,71.06,95.53999999999999,92.33,ELITE GROWTH
HINDCOPPER,525045694464.0,LARGE CAP,543.2999877929688,57.152634,17.706432,0.30602,3.319,0.48468,0.29843,0.581,1.366,Metals,Basic Materials,Copper,2026-06-02,Copper,0,1,1,90.58,90.88,96.12,95.07,90.72999999999999,92.24,ELITE GROWTH
BSE,1583619112960.0,LARGE CAP,3899.300048828125,73.7526,20.14143,0.36003,0.08224000000000001,0.67699,0.48729,1.051,0.64,Misc,Financial Services,Financial Data & Stock Exchanges,2026-06-02,Financial Data & Stock Exchanges,1,1,1,95.58,83.71,97.53,97.38,89.645,92.0,ELITE GROWTH
MUTHOOTFIN,1296020537344.0,LARGE CAP,3228.199951171875,12.23962,3.3120852,0.30406,379.707,0.78154,0.55206,0.537,1.267,Financials,Financial Services,Credit Services,2026-06-02,NBFC – Lending,0,1,1,89.62,90.33,96.05,97.92,89.975,91.98,ELITE GROWTH
DOLPHIN,15961827328.0,SMALL CAP,399.0,23.609468,4.516896,0.21903,57.496,0.16188,0.58871,1.219,1.713,Misc,Energy,Oil & Gas Equipment & Services,2026-06-02,Oil & Gas Equipment & Services,0,1,1,96.24,92.87,91.27,74.82,94.555,91.92,ELITE GROWTH
RAYMONDREL,38267072512.0,SMALL CAP,575.0,26.454715,2.8512774,0.37721002,64.676,0.19632,0.10184,5.351176299999867,0.657,Misc,Real Estate,Real Estate - Development,2026-06-02,Real Estate - Development,0,1,1,99.51,84.1,97.77,80.19,91.805,91.84,ELITE GROWTH
GARUDA,15877572608.0,SMALL CAP,170.64999389648438,13.218435,3.4835062,0.31127,2.649,0.32101002,0.23080999,0.827,0.908,Industrials,Industrials,Engineering & Construction,2026-06-02,Engineering & EPC,0,1,1,94.28,87.39,96.2,90.05,90.83500000000001,91.83,ELITE GROWTH
SATIN,25163057152.0,SMALL CAP,228.77999877929688,7.578006,0.9605341,0.1228,383.33,0.56876,0.21191,1.166,6.402,Financials,Financial Services,Credit Services,2026-06-02,NBFC – Lending,0,1,0,96.01,97.85,71.3,96.24,96.93,91.74,ELITE GROWTH
MARSONS,24653324288.0,SMALL CAP,143.25,56.845238,17.7884,0.2724,0.321,0.20427,0.18875,0.66,1.531,Misc,Industrials,Electrical Equipment & Parts,2026-06-02,Electrical Equipment & Parts,1,1,1,92.4,92.11,94.4,81.6,92.255,91.62,ELITE GROWTH
SRM,11622282240.0,SMALL CAP,506.45001220703125,14.379614,3.884594,0.32252,32.634,0.15448,0.10825,0.959,1.266,Industrials,Industrials,Engineering & Construction,2026-06-02,Engineering & EPC,0,1,1,95.07,90.29,96.79,73.53,92.68,91.59,ELITE GROWTH
SEAMECLTD,41919528960.0,SMALL CAP,1643.0,16.607702,3.886485,0.21945,27.069,0.33626,0.26393998,0.638,1.407,Misc,Industrials,Marine Shipping,2026-06-02,Marine Shipping,0,1,1,91.93,91.19,91.31,90.99,91.56,91.45,ELITE GROWTH
ATLANTAELE,151470981120.0,MID CAP,1969.800048828125,72.472404,16.300354,0.31548,5.461,0.18765,0.10897,0.817,1.13,Misc,Industrials,Electrical Equipment & Parts,2026-06-02,Electrical Equipment & Parts,0,1,1,94.13,89.17,96.4,79.01,91.65,91.34,ELITE GROWTH
SEDEMAC,100334927872.0,MID CAP,2272.0,96.475586,24.208328,0.27527002,16.126,0.14807001,0.09787,0.599,2.532,Automobiles,Consumer Cyclical,Auto Parts,2026-06-02,Auto Components,0,1,0,91.17,94.99,94.6,71.81,93.08,91.26,ELITE GROWTH
TBZ,11978145792.0,SMALL CAP,179.5,5.9201846,1.7192827,0.27058,105.734,0.12573,0.06302,0.567,6.141,Misc,Consumer Cyclical,Luxury Goods,2026-06-02,Luxury Goods,0,1,0,90.11,97.65,94.32,65.35,93.88,91.12,ELITE GROWTH
UTLSOLAR,98147180544.0,SMALL CAP,319.79998779296875,31.352942,16.94574,0.36418,40.802,0.16747999,0.11457,0.875,0.962,Misc,Technology,Solar,2026-06-02,Solar,0,1,1,94.68,87.86,97.57,76.08,91.27000000000001,91.01,ELITE GROWTH
SIGNATURE,116314742784.0,MID CAP,827.7999877929688,10.636002,16.001081,0.5137423209999978,161.04,0.043330003,0.42168,1.128,12.812489799999865,Misc,Real Estate,Real Estate - Development,2026-06-02,Real Estate - Development,0,1,0,95.89,99.51,99.51,24.55,97.7,90.75,ELITE GROWTH
PANACHE,5427258880.0,MICRO CAP,356.3999938964844,39.955154,4.9696717,0.18996,26.17,0.17421,0.06672,0.658,2.524,Misc,Technology,Communication Equipment,2026-06-02,Communication Equipment,0,1,1,92.36,94.95,87.24,77.21,93.655,90.73,ELITE GROWTH
RMC,3712119808.0,MICRO CAP,350.79998779296875,9.09987,2.9221644,0.41316003,58.799,0.13352,0.08891,1.301,0.836,Misc,Industrials,Electrical Equipment & Parts,2026-06-02,Electrical Equipment & Parts,0,1,0,96.67,86.65,98.2,67.46,91.66,90.55,ELITE GROWTH
SOLARWORLD,17689888768.0,SMALL CAP,204.10000610351562,13.652175,2.0406532,0.20828,30.132,0.09512,0.085080005,2.355,3.457,Misc,Technology,Solar,2026-06-02,Solar,0,1,0,98.28,96.24,89.9,43.77,97.25999999999999,90.44,ELITE GROWTH
SEJALLTD,9097411584.0,MICRO CAP,775.9500122070312,28.28837,14.150376,0.30464,133.115,0.11963,0.07249,0.695,1.56,Misc,Industrials,Building Products & Equipment,2026-06-02,Building Products & Equipment,0,1,0,92.99,92.21,96.08,63.61,92.6,90.4,ELITE GROWTH
UMIYA-MRO,1563901184.0,MICRO CAP,83.69999694824219,3.70682,1.2341856,0.42873,110.392,0.20363002,0.555,0.631,0.833,Misc,Real Estate,Real Estate - Development,2026-06-02,Real Estate - Development,0,1,1,91.82,86.61,98.47,81.44,89.215,90.29,ELITE GROWTH
EMMVEE,218019446784.0,MID CAP,314.8999938964844,18.340128,5.8977766,0.51116,9.745,0.28291,0.21417,0.623,0.625,Misc,Technology,Solar,2026-06-02,Solar,0,1,1,91.66,83.42,98.98,87.94,87.53999999999999,89.87,ELITE GROWTH
WAAREEENER,881334878208.0,LARGE CAP,3063.89990234375,27.023285,6.10098,0.31570998,21.402,0.15048,0.13986,1.118,0.712,Misc,Technology,Solar,2026-06-02,Solar,0,1,1,95.81,85.04,96.44,72.63,90.42500000000001,89.85,ELITE GROWTH
ANTELOPUS,30035687424.0,SMALL CAP,854.2000122070312,33.656425,4.582348,0.14705,0.542,0.47985,0.32132,0.653,1.589,Misc,Energy,Oil & Gas E&P,2026-06-02,Oil & Gas E&P,0,1,0,92.21,92.38,78.66,94.95,92.29499999999999,89.83,ELITE GROWTH
MONARCH,26586599424.0,SMALL CAP,335.3999938964844,14.697634,2.7356367,0.20495,3.83,0.64997,0.49444,0.582,0.841,Misc,Financial Services,Capital Markets,2026-06-02,Capital Markets,0,1,1,90.64,86.73,89.7,97.1,88.685,89.73,ELITE GROWTH
KRISHANA,42320990208.0,SMALL CAP,684.5,23.473936,7.5476065,0.38145,130.807,0.10695,0.074499995,0.598,1.531,Chemicals,Basic Materials,Agricultural Inputs,2026-06-02,Agrochemicals,0,1,0,91.11,92.11,97.96,60.02,91.61,89.72,ELITE GROWTH
NBIFIN,5392601088.0,MICRO CAP,1825.0,35.368217,0.1676233,0.11156999,29.595,0.9052779832539976,0.65801,5.351176299999867,12.812489799999865,Misc,Financial Services,Capital Markets,2026-06-02,Capital Markets,0,1,0,99.51,99.51,50.02,99.51,99.51,89.61,ELITE GROWTH
JPOLYINVST,10618099712.0,SMALL CAP,1010.0999755859375,3.54378318,0.64873254,0.11156999,1.433,0.9052779832539976,0.89158,5.351176299999867,12.812489799999865,Financials,Financial Services,Asset Management,2026-06-02,Asset Management Companies,0,1,0,99.51,99.51,50.02,99.51,99.51,89.61,ELITE GROWTH
THANGAMAYL,141152763904.0,MID CAP,4541.2998046875,40.14941,12.095167,0.27927,64.492,0.07105,0.04137,1.056,3.509,Misc,Consumer Cyclical,Luxury Goods,2026-06-02,Luxury Goods,0,1,0,95.61,96.28,94.75,34.49,95.945,89.56,ELITE GROWTH
VADILALIND,38568456192.0,SMALL CAP,5365.7998046875,24.883139,4.912238,0.20063,26.996,0.18496001,0.10172,0.581,1.493,Misc,Consumer Defensive,Packaged Foods,2026-06-02,Packaged Foods,0,1,1,90.58,91.86,88.88,78.62,91.22,89.49,ELITE GROWTH
CPPLUS,378300071936.0,MID CAP,3210.0,100.50094,22.689682,0.25425,9.604,0.16457,0.08718,0.455,1.874,Misc,Industrials,Building Products & Equipment,2026-06-02,Building Products & Equipment,0,1,1,87.24,93.38,93.56,75.57,90.31,89.49,ELITE GROWTH
TERASOFT,5158020608.0,MICRO CAP,412.25,20.77873,3.8574903,0.1848,26.995,0.14149,0.10418,1.227,1.201,Technology,Technology,Information Technology Services,2026-06-02,IT Services,0,1,0,96.36,89.66,86.53,70.16,93.00999999999999,89.43,ELITE GROWTH
GKSL,10712431616.0,SMALL CAP,135.8699951171875,54.56626,29.77646,0.11929,11.427,0.17589001,0.18697001,2.182,2.24,Misc,Healthcare,Medical Care Facilities,2026-06-02,Medical Care Facilities,0,1,0,98.16,94.48,70.32,77.49,96.32,89.24,ELITE GROWTH
GVT&D,1191512506368.0,LARGE CAP,4653.5,104.10514,57.093254,0.5137423209999978,0.892,0.26439,0.19871001,0.42,0.887,Misc,Industrials,Specialty Industrial Machinery,2026-06-02,Specialty Industrial Machinery,1,1,1,86.06,87.16,99.51,86.81,86.61,89.21,ELITE GROWTH
KPEL,23503075328.0,SMALL CAP,347.70001220703125,12.949721,4.4795156,0.43485,100.154,0.19368,0.12117,0.575,0.693,Industrials,Industrials,Engineering & Construction,2026-06-02,Engineering & EPC,0,1,1,90.45,84.71,98.55,79.84,87.58,89.0,ELITE GROWTH
HINDZINC,2631951187968.0,MEGA CAP,622.9000244140625,19.019848,11.632338,0.5137423209999978,39.034,0.52458,0.35292998,0.408,0.675,Misc,Basic Materials,Other Industrial Metals & Mining,2026-06-02,Other Industrial Metals & Mining,0,1,1,85.43,84.38,99.51,95.58,84.905,88.89,ELITE GROWTH
SBGLP,4559118336.0,MICRO CAP,26.290000915527344,12.285047,5.683096,0.11156999,73.579,0.35790002,0.29498,5.351176299999867,12.812489799999865,Misc,Real Estate,Real Estate - Development,2026-06-02,Real Estate - Development,0,1,0,99.51,99.51,50.02,92.01,99.51,88.86,ELITE GROWTH
NGLFINE,16389679104.0,SMALL CAP,2652.89990234375,34.090206,4.977812,0.15736,32.957,0.10963,0.09607001,0.572,12.812489799999865,Misc,Healthcare,Drug Manufacturers - General,2026-06-02,Drug Manufacturers - General,0,1,0,90.33,99.51,81.4,60.92,94.92,88.82,ELITE GROWTH
TIPSMUSIC,84982439936.0,SMALL CAP,664.7999877929688,39.175014,32.690792,0.5137423209999978,1.962,0.73416,0.5772,0.324,0.935,Misc,Communication Services,Entertainment,2026-06-02,Entertainment,0,1,1,81.3,87.59,99.51,97.61,84.445,88.77,ELITE GROWTH
BAJAJ-AUTO,2879012470784.0,MEGA CAP,10311.0,26.852648,7.4153733,0.28046,56.289,0.18642001,0.16507,0.488,1.031,Automobiles,Consumer Cyclical,Auto Manufacturers,2026-06-02,Passenger Vehicles,0,1,1,88.21,88.35,94.87,78.86,88.28,88.66,ELITE GROWTH
ACUTAAS,238973599744.0,MID CAP,2918.89990234375,83.34951,14.455366,0.23516001,2.081,0.4018,0.26599002,0.403,1.056,Chemicals,Basic Materials,Specialty Chemicals,2026-06-02,Specialty Chemicals,0,1,1,85.2,88.57,92.4,93.27,86.88499999999999,88.63,ELITE GROWTH
SENCO,56401457152.0,SMALL CAP,344.25,9.816082,2.6745136,0.25617,107.377,0.1258,0.06813,0.511,1.516,Misc,Consumer Cyclical,Luxury Goods,2026-06-02,Luxury Goods,0,1,0,88.94,92.03,93.7,65.39,90.485,88.62,ELITE GROWTH
SHAREINDIA,29965969408.0,SMALL CAP,136.94000244140625,9.431129,1.1384344,0.12968001,45.906,0.21562,0.2446,0.599,2.831,Misc,Financial Services,Capital Markets,2026-06-02,Capital Markets,0,1,0,91.17,95.46,73.45,82.73,93.315,88.28,ELITE GROWTH
NETWEB,263937163264.0,MID CAP,4635.2001953125,126.994514,36.39583,0.32834998,39.019,0.11987001,0.09426,0.866,0.643,Misc,Technology,Computer Hardware,2026-06-02,Computer Hardware,0,1,0,94.6,83.87,96.99,63.7,89.235,88.23,ELITE GROWTH
SVLL,7614576128.0,MICRO CAP,662.5,173.42932,17.532486,0.15578,509.488,0.15028,0.02538,0.566,2.621,Misc,Industrials,Trucking,2026-06-02,Trucking,0,1,0,90.05,95.03,80.85,72.55,92.53999999999999,88.2,ELITE GROWTH
UYFINCORP,2849770240.0,MICRO CAP,14.979999542236328,8.916667,0.82037234,0.11156999,1.149,0.52711,0.29483998,1.724,7.0,Financials,Financial Services,Credit Services,2026-06-02,NBFC – Lending,0,1,0,97.65,98.2,50.02,95.61,97.92500000000001,88.11,ELITE GROWTH
BIRLAMONEY,7747411456.0,MICRO CAP,137.10000610351562,13.233592,2.5841596,0.21804,594.7505399999964,0.27535,0.17396,0.429,1.006,Misc,Financial Services,Capital Markets,2026-06-02,Capital Markets,0,1,1,86.47,88.18,91.11,87.47,87.325,88.1,ELITE GROWTH
SPECTRUM,23214057472.0,SMALL CAP,1477.300048828125,58.553314,10.774561,0.20419,101.796,0.13888,0.08446,0.679,0.959,Misc,Industrials,Electrical Equipment & Parts,2026-06-02,Electrical Equipment & Parts,0,1,0,92.76,87.82,89.51,69.38,90.28999999999999,88.04,ELITE GROWTH
NCLIND,8368066560.0,MICRO CAP,185.0,13.857677,0.84198457,0.13762,31.936,0.11906,0.06708,0.622,5.628,Misc,Basic Materials,Building Materials,2026-06-02,Building Materials,0,1,0,91.62,97.53,76.0,63.43,94.575,87.75,ELITE GROWTH
FCL,49619382272.0,SMALL CAP,42.59000015258789,39.091743,4.0164013,0.14895001,0.872,0.12524,0.14083,1.619,1.159,Chemicals,Basic Materials,Specialty Chemicals,2026-06-02,Specialty Chemicals,0,1,0,97.51,89.27,79.17,65.19,93.39,87.73,ELITE GROWTH
VIYASH,109661388800.0,MID CAP,251.25,62.655857,3.747986,0.11565,15.724,0.13914,0.05183,1.29,2.284,Misc,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-02,Drug Manufacturers - Specialty & Generic,0,1,0,96.59,94.6,68.91,69.42,95.595,87.64,ELITE GROWTH
INA,27439333376.0,SMALL CAP,124.47000122070312,13.678021,3.992494,0.28151,109.826,0.12053,0.0933,1.001,0.585,Misc,Technology,Solar,2026-06-02,Solar,0,1,0,95.3,82.54,94.95,63.82,88.92,87.62,ELITE GROWTH
LLOYDSENGG,100125450240.0,MID CAP,70.25,47.14765,5.790949,0.16820998,6.45,0.10967,0.14593,1.134,1.125,Misc,Industrials,Specialty Industrial Machinery,2026-06-02,Specialty Industrial Machinery,0,1,0,95.93,89.12,83.44,61.0,92.525,87.56,ELITE GROWTH
SOLARINDS,1654429712384.0,LARGE CAP,18283.0,98.23232,26.355392,0.31332,23.271,0.26174,0.17052001,0.409,0.7,Chemicals,Basic Materials,Specialty Chemicals,2026-06-02,Specialty Chemicals,0,1,1,85.57,84.87,96.28,86.45,85.22,87.56,ELITE GROWTH
KMEW,43825840128.0,SMALL CAP,1792.9000244140625,51.95306,16.151815,0.19958,38.764,0.16118,0.30749,0.424,1.49,Misc,Industrials,Marine Shipping,2026-06-02,Marine Shipping,0,1,1,86.26,91.82,88.72,74.71,89.03999999999999,87.54,ELITE GROWTH
GUJALKALI,48490401792.0,SMALL CAP,660.2999877929688,26.454715,1.2691047,0.11156999,6.128,0.29207,0.1839,3.957,5.191,Misc,Basic Materials,Chemicals,2026-06-02,Chemicals,0,1,0,98.63,97.38,50.02,88.57,98.005,87.46,ELITE GROWTH
NEULANDLAB,215901372416.0,MID CAP,16828.0,59.301548,13.326111,0.11156999,16.072,0.36360002,0.022880001,1.364,6.649,Misc,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-02,Drug Manufacturers - Specialty & Generic,0,1,0,96.95,97.96,50.02,92.13,97.455,87.44,ELITE GROWTH
KISSHT,45709443072.0,SMALL CAP,271.29998779296875,28.467995,1.1763889,0.23966,180.902,0.20091999,0.14607,0.709,0.492,Financials,Financial Services,Credit Services,2026-06-02,NBFC – Lending,0,1,1,93.03,80.4,92.64,81.01,86.715,87.33,ELITE GROWTH
MASKINVEST,459220256.0,MICRO CAP,150.49000549316406,26.454715,0.40005425,0.11156999,0.826,0.40791,0.04644,2.005,3.25,Misc,Financial Services,Capital Markets,2026-06-02,Capital Markets,0,1,0,98.06,96.08,50.02,93.46,97.07,87.3,ELITE GROWTH
ASMS,2269096704.0,MICRO CAP,7.449999809265137,67.72727,8.399097,0.19015,25.615,0.07605,0.05661,2.904,1.333,Technology,Technology,Information Technology Services,2026-06-02,IT Services,0,1,0,98.43,90.64,87.29,36.53,94.535,87.29,ELITE GROWTH
DJML,3462014976.0,MICRO CAP,104.9800033569336,33.11672,4.0177584,0.13528,42.847,0.16533001,0.07908,0.907,1.203,Misc,Industrials,Specialty Business Services,2026-06-02,Specialty Business Services,0,1,0,94.79,89.7,75.37,75.8,92.245,87.23,ELITE GROWTH
OMAXAUTO,5355583488.0,MICRO CAP,249.77999877929688,14.4131565,1.5404446,0.11191,15.23,0.13851,0.07123,0.594,12.812489799999865,Automobiles,Consumer Cyclical,Auto Parts,2026-06-02,Auto Components,0,1,0,90.96,99.51,67.97,69.3,95.235,87.19,ELITE GROWTH
PREMIERENE,474132119552.0,MID CAP,1050.5,31.286478,13.625221,0.42333,86.005,0.26709998,0.19296,0.376,0.647,Misc,Technology,Solar,2026-06-02,Solar,0,1,1,84.1,83.95,98.39,86.96,84.025,87.19,ELITE GROWTH
SKYGOLD,85103198208.0,SMALL CAP,549.5,30.426357,8.107829,0.29828,72.072,0.07934,0.04349,0.822,1.119,Misc,Consumer Cyclical,Luxury Goods,2026-06-02,Luxury Goods,0,1,0,94.19,89.08,95.77,37.94,91.63499999999999,87.09,ELITE GROWTH
KRISHNADEF,16191779840.0,SMALL CAP,1151.699951171875,56.262825,8.851604,0.25425,1.121,0.28069,0.16656,0.429,0.627,Misc,Industrials,Specialty Industrial Machinery,2026-06-02,Specialty Industrial Machinery,0,1,1,86.47,83.52,93.56,87.82,84.995,86.99,ELITE GROWTH
ANANDRATHI,292647731200.0,MID CAP,3525.0,74.55584,29.318806,0.46738997,8.25,0.40331,0.31594,0.476,0.384,Financials,Financial Services,Asset Management,2026-06-02,Asset Management Companies,0,1,1,87.86,77.45,98.63,93.34,82.655,86.92,ELITE GROWTH
MANORAMA,88458182656.0,SMALL CAP,1481.5,41.210014,13.154157,0.3798,52.154,0.23008,0.15727,0.681,0.315,Misc,Consumer Defensive,Packaged Foods,2026-06-02,Packaged Foods,0,1,1,92.8,75.29,97.92,84.06,84.045,86.82,ELITE GROWTH
NAVINFLUOR,362463526912.0,MID CAP,7067.5,54.294384,9.112441,0.20105,31.997,0.29853,0.20023,0.338,1.165,Misc,Basic Materials,Chemicals,2026-06-02,Chemicals,0,1,1,82.3,89.35,88.96,89.08,85.82499999999999,86.78,ELITE GROWTH
VSTIND,43131908096.0,SMALL CAP,254.39999389648438,14.790697,3.403117,0.21114,29.595,0.31738,0.19955999,0.309,1.195,Consumer,Consumer Defensive,Tobacco,2026-06-02,Tobacco,0,1,1,80.44,89.62,90.25,89.86,85.03,86.56,ELITE GROWTH
AUTOIND,3644552192.0,MICRO CAP,80.31999969482422,9.350408,1.8494128,0.21987,164.641,0.07732,0.046719998,0.484,3.653,Automobiles,Consumer Cyclical,Auto Parts,2026-06-02,Auto Components,0,1,0,88.06,96.4,91.41,37.04,92.23,86.55,ELITE GROWTH
APOLLO,149657174016.0,MID CAP,418.8500061035156,132.96825,11.009042,0.1121,41.527,0.20691,0.12487,0.813,1.348,Misc,Industrials,Aerospace & Defense,2026-06-02,Aerospace & Defense,0,1,0,94.09,90.8,68.01,82.07,92.445,86.52,ELITE GROWTH
DBREALTY,63461593088.0,SMALL CAP,117.0,238.77551,1.5282332,0.11156999,24.791,0.17354,0.03418,1.414,12.812489799999865,Misc,Real Estate,Real Estate - Development,2026-06-02,Real Estate - Development,0,1,0,97.06,99.51,50.02,77.11,98.285,86.51,ELITE GROWTH
REFEX,45211045888.0,SMALL CAP,310.95001220703125,17.30384,3.2787838,0.17817,14.918,0.16506,0.089320004,0.488,1.041,Metals,Energy,Thermal Coal,2026-06-02,Coal,0,1,0,88.21,88.45,85.32,75.76,88.33,86.47,ELITE GROWTH
DPABHUSHAN,21001687040.0,SMALL CAP,920.0,10.126582,3.3133214,0.40866002,48.027,0.05266,0.05211,0.861,1.031,Misc,Consumer Cyclical,Luxury Goods,2026-06-02,Luxury Goods,0,1,0,94.56,88.35,98.16,27.8,91.455,86.43,ELITE GROWTH
PASUPTAC,6537022464.0,MICRO CAP,73.33999633789062,9.354591,1.5005013,0.1749,24.599,0.14536001,0.06922,0.453,1.341,Misc,Consumer Cyclical,Textile Manufacturing,2026-06-02,Textile Manufacturing,0,1,0,87.16,90.76,84.93,71.22,88.96000000000001,86.38,ELITE GROWTH
JSLL,71597219840.0,SMALL CAP,576.0,32.323235,20.233955,0.11156999,30.042,0.40358,0.29354998,0.916,4.047,Misc,Healthcare,Medical Care Facilities,2026-06-02,Medical Care Facilities,0,1,0,94.83,96.67,50.02,93.38,95.75,86.37,ELITE GROWTH
MANAKSTEEL,4390781440.0,MICRO CAP,67.0,11.001642,1.3462466,0.12974,46.44,0.10505,0.03516,0.632,3.097,Misc,Basic Materials,Steel,2026-06-02,Steel,0,1,0,91.86,95.89,73.49,59.36,93.875,86.35,ELITE GROWTH
PANSARI,4832763392.0,MICRO CAP,277.0,28.381147,3.4086015,0.11156999,47.606,0.13154,0.16825001,5.351176299999867,12.812489799999865,Misc,Real Estate,Real Estate - Development,2026-06-02,Real Estate - Development,0,1,0,99.51,99.51,50.02,66.8,99.51,86.34,ELITE GROWTH
BHAGYANGR,10238400512.0,SMALL CAP,320.0,28.2436,3.9723918,0.21582001,100.527,0.04659,0.0211,0.618,3.047,Metals,Basic Materials,Copper,2026-06-02,Copper,0,1,0,91.52,95.81,90.84,25.69,93.66499999999999,86.3,ELITE GROWTH
LUPIN,1020871639040.0,LARGE CAP,2232.89990234375,19.159088,4.544798,0.26907,29.388,0.24244,0.19073999,0.319,0.89,Misc,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-02,Drug Manufacturers - Specialty & Generic,0,1,1,81.13,87.24,94.28,85.04,84.185,86.29,ELITE GROWTH
BAJAJCON,73812410368.0,SMALL CAP,565.0999755859375,39.795773,10.02128,0.25309,2.092,0.22031,0.16329001,0.304,1.13,Consumer,Consumer Defensive,Household & Personal Products,2026-06-02,FMCG – Personal Care,0,1,1,80.03,89.17,93.42,83.44,84.6,86.25,ELITE GROWTH
V2RETAIL,87494778880.0,SMALL CAP,239.9499969482422,52.505466,21.587944,0.25959,110.224,0.057940003,0.05266,0.606,1.688,Misc,Consumer Cyclical,Apparel Retail,2026-06-02,Apparel Retail,0,1,0,91.35,92.72,93.85,29.6,92.035,86.15,ELITE GROWTH
GENUSPOWER,84545298432.0,SMALL CAP,305.54998779296875,14.345071,3.810848,0.28997,103.821,0.16192,0.12467,0.641,0.395,Misc,Industrials,Electrical Equipment & Parts,2026-06-02,Electrical Equipment & Parts,0,1,1,91.97,77.92,95.38,74.86,84.945,86.02,ELITE GROWTH
SENORES,47725334528.0,SMALL CAP,1036.300048828125,39.298447,6.303107,0.13793,35.46,0.21799,0.18396,0.534,1.089,Misc,Healthcare,Drug Manufacturers - General,2026-06-02,Drug Manufacturers - General,0,1,0,89.57,88.92,76.14,82.97,89.245,86.0,ELITE GROWTH
