SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY
IVP,1771780224.0,MICRO CAP,171.5800018310547,9.484798,1.231297,0.11156999,69.423,0.04918,0.023559999,0.121,1.435,Chemicals,Basic Materials,Specialty Chemicals,2026-06-02,Specialty Chemicals,0,1,0,50.1,91.43,50.02,26.7,70.765,62.21,MODERATE GROWTH
ONELIFECAP,1000127232.0,MICRO CAP,26.770000457763672,26.454715,1.3213228,0.11156999,128.135,-0.49084,-0.13473,1.919,0.171,Misc,Financial Services,Capital Markets,2026-06-02,Capital Markets,0,1,0,97.89,50.02,50.02,3.84,73.955,62.16,MODERATE GROWTH
PURVA,50455965696.0,SMALL CAP,212.75999450683594,78.799995,3.1208837,0.03232,315.044,0.19357,0.01704,1.692,0.171,Misc,Real Estate,Real Estate - Development,2026-06-02,Real Estate - Development,0,1,0,97.61,50.02,12.53,79.72,73.815,62.15,MODERATE GROWTH
AGARWALEYE,151993368576.0,MID CAP,479.5,114.43914,7.520625,0.083100006,50.3,0.15031,0.06403,0.226,0.208,Misc,Healthcare,Medical Instruments & Supplies,2026-06-02,Medical Instruments & Supplies,0,1,0,73.38,69.56,23.92,72.59,71.47,62.07,MODERATE GROWTH
FCSSOFT,2940431360.0,MICRO CAP,1.7200000286102295,26.454715,0.6825397,0.00598,29.595,0.26049,0.03867,2.309,0.171,Technology,Technology,Information Technology Services,2026-06-02,IT Services,0,1,0,98.24,50.02,7.6,86.26,74.13,62.04,MODERATE GROWTH
MAHASTEEL,15528864768.0,SMALL CAP,944.9000244140625,162.91379,11.173257,0.11156999,40.365,0.01632,0.0127799995,0.122,0.758,Misc,Basic Materials,Steel,2026-06-02,Steel,0,1,0,58.18,85.81,50.02,16.23,71.995,62.02,MODERATE GROWTH
VIDYAWIRES,23332345856.0,SMALL CAP,109.69999694824219,40.479702,9.3881035,0.17844999,17.772,0.04487,0.03134,0.539,0.153,Misc,Industrials,Electrical Equipment & Parts,2026-06-02,Electrical Equipment & Parts,0,1,0,89.66,31.6,85.36,24.94,60.629999999999995,62.01,MODERATE GROWTH
SINTERCOM,2048896000.0,MICRO CAP,74.43000030517578,218.91176,2.0553958,0.0139999995,51.503,0.08486,0.01422,0.141,9.817,Automobiles,Consumer Cyclical,Auto Parts,2026-06-02,Auto Components,0,1,0,61.45,98.75,9.55,40.02,80.1,61.98,MODERATE GROWTH
SONACOMS,376327143424.0,MID CAP,605.0,58.62403,6.5819535,0.106850006,7.213,0.17621,0.14388,0.454,0.171,Automobiles,Consumer Cyclical,Auto Parts,2026-06-02,Auto Components,0,1,0,87.2,50.02,30.97,77.6,68.61,61.98,MODERATE GROWTH
ICRA,49931689984.0,SMALL CAP,5174.5,27.458212,4.2176604,0.16277,29.595,0.34390998,0.30277002,0.041,0.323,Misc,Financial Services,Financial Data & Stock Exchanges,2026-06-02,Financial Data & Stock Exchanges,0,0,0,28.11,75.63,82.58,91.35,51.87,61.96,MODERATE GROWTH
