SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,CURRENT_PRICE,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,GROWTH_SCORE,GROWTH_RANK,ROE_SCORE,OPERATING_MARGIN_SCORE,PROFIT_MARGIN_SCORE,DEBT_PENALTY,QUALITY_SCORE,QUALITY_RANK,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT,OWNERSHIP_SCORE,OWNERSHIP_RANK,VALUATION_SCORE,VALUATION_RANK,VALUATION_STATUS,ROE_FACTOR,MARGIN_FACTOR,DEBT_FACTOR,QUALITY_FACTOR,REVENUE_FACTOR,EARNINGS_FACTOR,GROWTH_FACTOR,PE_FACTOR,PB_FACTOR,VALUE_FACTOR,PROMOTER_FACTOR,FII_FACTOR,OWNERSHIP_FACTOR,FACTOR_SCORE,FACTOR_RANK,FACTOR_GRADE
WPIL,0.0,UNKNOWN,0.0,0.0,0.0,31.9,0.19006,0.06238,0.412,0.735,423.75,OTHERS,,,2026-05-11,41.2,73.5,57.35,402,0.0,19.006,6.238,31.9,4.071299999999999,902,40.3,4.83,3.5,8.61,15.567999999999998,2166,2275.0,64,UNDERVALUED,42.27386934673367,77.09380234505862,40.91289782244556,55.92964824120603,84.71524288107203,84.71524288107203,84.71524288107203,,,,26.633165829145728,15.054438860971525,20.843802345058627,,1950,WEAK
HIKAL,25819176960.0,SMALL CAP,0.0,2.0454013,0.0,0.0,0.13161,0.0615,0.373,0.683,209.4,PHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,2026-05-11,37.3,68.30000000000001,52.8,432,0.0,13.161,6.15,0.0,5.4858,771,40.84,8.87,8.66,6.18,18.502,1805,2103.6670484662354,65,UNDERVALUED,42.27386934673367,64.15410385259631,93.27889447236181,61.22696817420436,83.27051926298158,83.8358458961474,83.55318257956449,,55.83475298126065,,28.559463986599663,35.92964824120603,32.244556113902846,,1951,WEAK
3BBLACKBIO,0.0,UNKNOWN,0.0,3.512017,0.0,0.086,0.42386,0.44556,0.983,0.663,1249.4,OTHERS,,,2026-05-11,98.3,66.3,82.3,303,0.0,42.386,44.556,0.086,23.8462,128,41.35,8.67,7.71,3.38,18.663,1776,2037.542099881635,67,UNDERVALUED,42.27386934673367,93.25795644891123,85.25963149078727,71.26465661641541,94.47236180904522,83.45896147403685,88.96566164154103,,35.00851788756388,,29.731993299832492,35.2177554438861,32.47487437185929,,1952,WEAK
DRAGARWQ,0.0,UNKNOWN,0.0,7.652903,0.0,106.453,0.19541,0.15498,0.222,0.616,5113.8,OTHERS,,,2026-05-11,22.2,61.6,41.9,522,0.0,19.541,15.498,106.453,-0.9085,1492,47.11,3.88,7.62,2.4,19.317500000000003,1654,1891.9200810463688,70,UNDERVALUED,42.27386934673367,77.88944723618091,12.897822445561138,50.64489112227807,70.87520938023451,82.4539363484087,76.6645728643216,,13.798977853492334,,45.938023450586265,9.547738693467336,27.7428810720268,,1953,WEAK
KAMAHOLD,0.0,UNKNOWN,0.0,1.1378825,0.0,32.298,0.16184,0.05801,0.064,0.591,2706.2,OTHERS,,,2026-05-11,6.4,59.1,32.75,618,0.0,16.184,5.801,32.298,3.07565,989,37.44,10.37,2.16,0.02,16.753,2054,1839.3647608606332,71,UNDERVALUED,42.27386934673367,71.85929648241206,40.36850921273032,53.72696817420436,42.77638190954774,82.07705192629817,62.42671691792295,,73.9778534923339,,18.55108877721943,44.472361809045225,31.51172529313233,,1954,WEAK
BIRLAPREC,0.0,UNKNOWN,0.0,1.6145976,0.0,27.266,-0.01779,0.05406,0.013,0.571,41.19,OTHERS,,,2026-05-11,1.3,57.1,29.2,673,0.0,-1.779,5.406,27.266,-1.9088,1580,54.82,11.99,1.3,4.51,22.658,1101,1771.5804809817628,72,UNDERVALUED,42.27386934673367,13.358458961474037,44.597989949748744,31.172529313232836,32.663316582914575,81.5536013400335,57.108458961474035,,63.45826235093697,,68.94891122278057,55.653266331658294,62.301088777219434,,1955,WEAK
DEEPINDS,29049600000.0,SMALL CAP,0.0,1.5048387,0.0,10.086,0.38158,-0.018380001,0.431,0.561,453.9,POWER,Energy,Oil & Gas E&P,2026-05-11,43.1,56.10000000000001,49.60000000000001,454,0.0,38.158,-1.8380001,10.086,9.979299974999998,469,66.18,10.17,7.08,0.52,27.932,352,1742.935691446532,75,UNDERVALUED,42.27386934673367,91.54103852596315,62.06030150753769,65.93802345058626,85.40619765494138,81.34422110552764,83.37520938023451,,65.28960817717207,,99.41373534338358,43.09045226130653,71.25209380234506,,1956,WEAK
DISAQ,0.0,UNKNOWN,0.0,6.3780417,0.0,0.04,0.15993,0.1201,0.295,0.539,12152.0,OTHERS,,,2026-05-11,29.5,53.900000000000006,41.7,526,0.0,15.993,12.01,0.04,7.7964,591,62.76,9.35,2.03,7.75,24.5035,756,1661.7036381088574,77,UNDERVALUED,42.27386934673367,71.56616415410384,85.74120603015075,62.68425460636516,78.16164154103853,80.98827470686767,79.57495812395311,,18.143100511073254,,91.79229480737018,38.06532663316583,64.928810720268,,1957,WEAK
AKCAPIT,0.0,UNKNOWN,0.0,1.012925,0.0,308.999,0.69446,0.18732001,0.171,0.517,1556.8,OTHERS,,,2026-05-11,17.1,51.7,34.400000000000006,596,0.0,69.446,18.732001,308.999,-5.383099750000003,1861,35.74,6.01,8.22,6.6,15.707,2159,1620.617197719476,78,UNDERVALUED,42.27386934673367,97.02680067001675,3.47571189279732,56.41541038525964,62.981574539363486,80.69514237855945,71.83835845896147,,76.78875638841566,,13.84003350083752,21.1892797319933,17.514656616415408,,1958,WEAK
SANWARIA,332943680.0,MICRO CAP,0.0,0.027328627,0.0,149.496,0.046669997,0.0,0.072,0.125,0.24,FMCG,Consumer Defensive,Farm Products,2026-05-11,7.199999999999999,12.5,9.85,1146,0.0,4.6669997,0.0,149.496,-13.549500090000002,2105,42.74,9.68,8.59,1.56,19.8545,1553,1512.7499894158605,82,UNDERVALUED,42.27386934673367,31.197654941373532,8.542713567839195,31.097152428810723,44.597989949748744,62.89782244556113,53.74790619765494,,95.22998296422487,,33.37520938023451,39.824120603015075,36.59966499162479,,1959,WEAK
