FINAL_RANK,SYMBOL,SECTOR,PE_RATIO,PRICE_TO_BOOK,ROE,REVENUE_GROWTH,EARNINGS_GROWTH,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,GROWTH_SCORE,QUALITY_SCORE,OWNERSHIP_SCORE,VALUATION_SCORE,FINAL_SCORE,RATING,INSTITUTIONAL_RANK
394,MAZDOCK,DEFENCE,40.065586,10.608266,0.2877,0.302,1.09,64.84,43.14,29.23,69.60000000000001,20.0176497,42.6625,85.44252445352443,52.506299800704895,WATCH,1
754,AEGISVOPAK,POWER,169.904,4.930127,0.0,0.223,0.436,67.98,44.23,19.6,32.95,17.525049499999998,41.708,14.018928023526689,26.287900454705337,AVOID,2
