SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,CURRENT_PRICE,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,GROWTH_SCORE,GROWTH_RANK,ROE_SCORE,OPERATING_MARGIN_SCORE,PROFIT_MARGIN_SCORE,DEBT_PENALTY,QUALITY_SCORE,QUALITY_RANK,PROMOTER_HOLDING,FII_HOLDING,DII_HOLDING,PLEDGE_PERCENT,OWNERSHIP_SCORE,OWNERSHIP_RANK,VALUATION_SCORE,VALUATION_RANK,VALUATION_STATUS,ROE_FACTOR,MARGIN_FACTOR,DEBT_FACTOR,QUALITY_FACTOR,REVENUE_FACTOR,EARNINGS_FACTOR,GROWTH_FACTOR,PE_FACTOR,PB_FACTOR,VALUE_FACTOR,PROMOTER_FACTOR,FII_FACTOR,OWNERSHIP_FACTOR,FACTOR_SCORE,FACTOR_RANK,FACTOR_GRADE,VOLATILITY,SHARPE_RATIO,MAX_DRAWDOWN,RISK_SCORE,RISK_RANK
TAALTECH,0.0,UNKNOWN,0.0,4.0818295,0.0,1.112,0.22243999,0.27932,0.056,0.019,2915.9,OTHERS,,,2026-05-11,5.6000000000000005,1.9,3.75,1359,0.0,22.243999,27.932,1.112,13.5449997,313,52.3,8.07,3.37,5.26,21.0425,1356,104.34964554496948,499,UNDERVALUED,42.27386934673367,81.07202680067002,79.64824120603015,65.26800670016752,40.95477386934673,55.06700167504187,48.0108877721943,,30.02555366269165,,61.68341708542714,32.370184254606365,47.02680067001676,,2063,WEAK,0.16191694668200846,-2.5636942545023884,-0.042915991069211734,283.38812990126155,11
RAJVIR,37610260.0,MICRO CAP,0.0,-0.02716388,0.0,0.0,-0.49508998,-2.12832,-0.159,0.0,7.65,FMCG,Consumer Cyclical,Textile Manufacturing,2026-05-11,-15.9,0.0,-7.95,1827,0.0,-49.508998,-212.832,0.0,-68.0606994,2316,36.4,5.4,6.13,4.78,15.4145,2176,-1034.4077650173683,2342,EXPENSIVE,42.27386934673367,4.103852596314908,93.2788944723618,37.2068676716918,12.16499162479062,40.61976549413736,26.392378559463985,,95.86882453151618,,15.682579564489114,17.33668341708543,16.50963149078727,,2344,WEAK,0.14461023930194455,-2.4866839632003868,-0.3045454458756881,273.226014625872,12
BLACKROSE,0.0,UNKNOWN,0.0,2.977644,0.0,5.317,0.07363,0.052989997,-0.133,-0.234,90.97,OTHERS,,,2026-05-11,-13.3,-23.4,-18.35,2039,0.0,7.363,5.2989997,5.317,3.001949925,1002,52.05,10.68,1.58,2.39,21.5775,1270,-651.9249205076229,2331,EXPENSIVE,42.27386934673367,42.96482412060301,68.55108877721943,47.80569514237856,13.67252931323283,16.20603015075377,14.9392797319933,,40.80068143100511,,60.86683417085427,46.503350083752096,53.68509212730318,,2334,WEAK,0.25646412857518763,6.361942255512992,-0.02258247808570113,269.97923968419883,13
RRIL,0.0,UNKNOWN,0.0,0.0,0.0,26.175,0.06491,0.06179,0.04,-0.222,20.04,OTHERS,,,2026-05-11,4.0,-22.2,-9.1,1855,0.0,6.491,6.178999999999999,26.175,0.8745499999999997,1275,39.97,4.31,6.29,9.19,15.936,2135,-595.9999999999999,2329,EXPENSIVE,42.27386934673367,39.19597989949749,45.56113902847571,41.7001675041876,37.709380234505865,16.729480737018427,27.219430485762143,,,,25.753768844221103,11.683417085427136,18.71859296482412,,2332,WEAK,0.3968861361899956,12.388443652681259,-0.017492667273088625,264.67196975714023,14
MCCHRLS-B,0.0,UNKNOWN,0.0,13.485623,0.0,1620.902,0.57711,-1.71376,10.822,0.0,669.75,OTHERS,,,2026-05-11,1082.1999999999998,0.0,541.0999999999999,53,0.0,57.711,-171.376,1620.902,-187.6209,2353,46.47,2.88,4.22,3.93,17.790499999999998,1906,72.22459132959597,774,UNDERVALUED,42.27386934673367,95.77051926298158,0.4187604690117252,55.30150753768845,99.41373534338358,40.61976549413736,70.01675041876047,,5.919931856899488,,44.0536013400335,4.920435510887772,24.48701842546064,,2226,WEAK,0.19540205145500858,-2.141263428596942,-0.029347826086956408,264.2892359617068,15
ASHIKA,0.0,UNKNOWN,0.0,2.4223077,0.0,0.163,0.0757,0.14577,0.0,0.0,394.95,OTHERS,,,2026-05-11,0.0,0.0,0.0,1555,0.0,7.57,14.577000000000002,0.163,5.89895,747,60.46,4.32,7.83,1.37,24.2775,797,82.38488405085778,670,UNDERVALUED,42.27386934673367,43.84422110552764,84.42211055276381,51.33165829145729,28.58040201005025,40.61976549413736,34.6000837520938,,49.616695059625215,,85.30150753768844,11.788107202680068,48.54480737018425,,2154,WEAK,0.2299456766541499,2.6665618460054836,-0.02652978578347509,260.00734060214774,16
NTPC,3810305245184.0,LARGE CAP,21.75803,1.9823835,0.0,118.127,0.18428,0.12892,0.08,-0.016,392.95,IT,Utilities,Utilities - Regulated Electric,2026-05-11,8.0,-1.6,3.2,1387,0.0,18.428,12.892,118.127,-3.0612999999999992,1679,28.69,36.32,17.1,2.03,25.0095,668,14.765617524911246,1501,EXPENSIVE,42.27386934673367,76.17252931323283,10.845896147403684,49.54773869346735,45.74958123953099,26.423785594639863,36.08668341708543,61.912144702842376,56.899488926746166,59.40581681479427,8.626465661641541,94.8073701842546,51.71691792294808,47.9148735807143,1204,WEAK,0.1794400049996899,0.9157032242053643,-0.07911917772959864,251.85686589197005,17
AVAILFC,0.0,UNKNOWN,0.0,0.1249696,0.0,0.0,0.52229,202.59247,0.065,0.33,154.63,OTHERS,,,2026-05-11,6.5,33.0,19.75,870,0.0,52.229000000000006,20259.247,0.0,5080.48045,3,47.44,10.39,2.99,9.46,19.5225,1613,1270.0583821985506,89,UNDERVALUED,42.27386934673367,94.63986599664992,93.2788944723618,73.42127303182579,43.027638190954775,74.97906197654942,59.003350083752096,,94.7189097103918,,47.31993299832496,44.59798994974874,45.958961474036855,,1962,WEAK,0.22169640019995018,0.618948768522198,-0.029315744378410225,251.12544723325192,18
KLBRENG-B,0.0,UNKNOWN,0.0,4.4432635,0.0,18.541,0.21106,0.16195999,0.448,0.338,505.95,OTHERS,,,2026-05-11,44.8,33.800000000000004,39.3,550,0.0,21.106,16.195999,18.541,8.526699749999999,544,60.33,9.07,2.78,7.46,23.7855,882,1060.7517940360729,100,UNDERVALUED,42.27386934673367,79.81574539363484,52.428810720268,59.321608040201006,85.9715242881072,75.18844221105527,80.57998324958123,,27.72572402044293,,84.94556113902848,36.76716917922949,60.85636515912898,,1965,WEAK,0.18421366504415324,-2.550425209329767,-0.0455573750068794,250.8381421796549,19
WIMPLAST,0.0,UNKNOWN,7.4394393,0.0,0.0,0.0,0.12093,0.16507,-0.106,-0.054,371.6,FMCG,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2026-05-11,-10.6,-5.4,-8.0,1828,0.0,12.093,16.506999999999998,0.0,7.75465,597,59.54,11.81,1.85,9.27,23.9175,858,13.600914654952554,1539,EXPENSIVE,42.27386934673367,60.55276381909548,93.2788944723618,59.786432160804026,15.80820770519263,24.455611390284755,20.13190954773869,93.8501291989664,,,82.4539363484087,54.58542713567839,68.51968174204355,,2285,WEAK,0.19865133155959613,-3.1737920827294146,-0.032795433896878556,249.64675576689137,20
MENNPIS,0.0,UNKNOWN,0.0,3.8103309,0.0,5.402,-0.01831,0.088570006,-0.427,0.0,60.71,OTHERS,,,2026-05-11,-42.7,0.0,-21.35,2083,0.0,-1.831,8.857000600000001,5.402,1.12475015,1238,54.18,13.59,3.02,7.65,23.03,1046,77.87333194605225,716,UNDERVALUED,42.27386934673367,13.316582914572864,68.2998324958124,35.89614740368509,4.564489112227806,40.61976549413736,22.59212730318258,,32.240204429301535,,67.12730318257957,64.88693467336684,66.00711892797321,,2182,WEAK,0.2655480730430617,4.40618339337582,-0.02510752985139919,247.91397112240054,21
MARICO,1091647897600.0,LARGE CAP,62.18081,26.9547,0.41393003,12.394,0.13831,0.12945,0.221,0.145,842.55,FMCG,Consumer Defensive,Household & Personal Products,2026-05-11,22.1,14.499999999999998,18.3,911,41.393003,13.831,12.945,12.394,20.63370105,166,51.76,30.42,13.98,8.81,29.856,230,8.751991185249876,1663,EXPENSIVE,99.32998324958125,66.33165829145729,58.96147403685092,78.0569514237856,70.70770519262982,64.23785594639865,67.47278056951424,17.467700258397933,1.5758091993185688,9.521754728858252,60.00837520938024,91.62479061976548,75.81658291457286,60.72658712667618,356,AVERAGE,0.17775172055963265,0.9018222170215223,-0.10495463732379517,247.69612403047975,22
BEEKAY,0.0,UNKNOWN,0.0,0.7538009,0.0,0.0,0.14142999,0.05345,0.0,0.0,425.25,OTHERS,,,2026-05-11,0.0,0.0,0.0,1565,0.0,14.142999,5.345,0.0,5.579149699999999,763,51.75,5.31,8.49,6.7,21.158,1343,109.79830748411152,468,UNDERVALUED,42.27386934673367,67.25293132328308,93.2788944723618,62.46649916247907,28.58040201005025,40.61976549413736,34.6000837520938,,83.603066439523,,59.96649916247906,17.022613065326635,38.494556113902846,,2050,WEAK,0.21786557717401803,0.28585325933790173,-0.0322029906532445,246.84889537411294,23
KAMAHOLD,0.0,UNKNOWN,0.0,1.1378825,0.0,32.298,0.16184,0.05801,0.064,0.591,2706.2,OTHERS,,,2026-05-11,6.4,59.1,32.75,618,0.0,16.184,5.801,32.298,3.07565,989,37.44,10.37,2.16,0.02,16.753,2054,1839.3647608606327,71,UNDERVALUED,42.27386934673367,71.85929648241206,40.36850921273032,53.72696817420436,42.77638190954774,82.07705192629817,62.42671691792295,,73.9778534923339,,18.55108877721943,44.472361809045225,31.51172529313233,,1954,WEAK,0.3155580699440279,5.215140025915146,-0.020522849077445504,245.0724697184574,24
CASTROLIND,180762116096.0,MID CAP,18.85965,9.512284,0.0,3.305,0.19521,0.16386,0.087,0.038,182.75,POWER,Energy,Oil & Gas Refining & Marketing,2026-05-11,8.7,3.8,6.25,1279,0.0,19.521,16.386,3.305,9.6223,481,57.66,21.92,15.57,6.41,30.0085,223,11.319397701431289,1604,EXPENSIVE,42.27386934673367,77.80569514237857,72.94807370184255,62.62144053601341,47.152428810720274,56.61641541038526,51.88442211055276,67.6485788113695,10.434412265758093,39.041495538563794,76.8425460636516,82.99832495812394,79.92043551088777,58.14414500386016,504,AVERAGE,0.17352270098653017,-0.3025602481471753,-0.20622335084553112,239.00537100208575,25
JAGRAN,14571953152.0,SMALL CAP,8.867549,0.751091,0.0,9.556,0.10684,0.0871,-0.077,-0.135,66.95,OTHERS,Communication Services,Publishing,2026-05-11,-7.7,-13.5,-10.6,1899,0.0,10.684,8.709999999999999,9.556,4.427099999999999,859,38.73,8.21,6.83,9.79,16.747,2055,-1.2194196659256704,1854,EXPENSIVE,42.27386934673367,55.0251256281407,62.730318257956455,51.46566164154104,18.21608040201005,20.142378559463985,19.179229480737018,91.93798449612405,83.68824531516184,87.81311490564293,22.110552763819097,33.165829145728644,27.63819095477387,44.28372850876678,1420,WEAK,0.17517189818048848,0.17978278335928988,-0.22373541298823818,238.00539021436657,26
