SYMBOL,MARKET_CAP,MARKET_CAP_CATEGORY,CURRENT_PRICE,PE_RATIO,PRICE_TO_BOOK,ROE,DEBT_TO_EQUITY,OPERATING_MARGIN,PROFIT_MARGIN,REVENUE_GROWTH,EARNINGS_GROWTH,SECTOR,RAW_SECTOR,INDUSTRY,FETCH_DATE,SUBSECTOR,HIGH_QUALITY_FLAG,HIGH_GROWTH_FLAG,COMPOUNDER_FLAG,REVENUE_GROWTH_SCORE,EARNINGS_GROWTH_SCORE,ROE_SCORE,OPERATING_MARGIN_SCORE,GROWTH_STABILITY_SCORE,GROWTH_SCORE,GROWTH_CATEGORY,QUALITY_SCORE,OWNERSHIP_SCORE,GROWTH_SCORE_SECTOR_REL,QUALITY_SCORE_SECTOR_REL,OWNERSHIP_SCORE_SECTOR_REL,GROWTH_SCORE_SUBSECTOR_REL,QUALITY_SCORE_SUBSECTOR_REL,OWNERSHIP_SCORE_SUBSECTOR_REL,INSTITUTIONAL_BREADTH,LEADERSHIP_SCORE,CONFIDENCE_SCORE,FINAL_SCORE,ELITE_FLAG,TRADE_DECISION,MARKET_REGIME,MARKET_BREADTH,VOLATILITY_REGIME,RISK_REGIME,SMART_MONEY_SCORE,LEADING_SECTOR,ANOMALY_FLAG,COMPOUNDER_PROBABILITY,CRASH_RISK_SCORE,BREAKOUT_FLAG,AI_CONVICTION_SCORE,AI_WATCHLIST,RANK,INSTITUTIONAL_GRADE,PORTFOLIO_RISK_SCORE,EXPECTED_RETURN_SCORE,SHARPE_LIKE_SCORE,PORTFOLIO_WEIGHT
CALSOFT,1288504320.0,MICRO CAP,20.84000015258789,115.77777,3.1216297,0.32296002,3.905,0.88351,0.54057,4.782292599999887,17.040096699999964,Technology,Technology,Software - Application,2026-05-22,SaaS,0,1,1,99.51,99.51,98.04,98.86,99.51,99.15,ELITE GROWTH,60,60,100.0,92.17,93.04,100.0,97.06,95.59,66.66666666666666,99.06,88.45,88.98,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,76.88,Energy,0,76.55,30.04,1,83.34,1,25,A+,30.33,91.83,58.621129907436966,0.3451676528599606
SOLARINDS,1646014103552.0,LARGE CAP,18190.0,97.92205,26.22133,0.31332,23.271,0.26174,0.17052001,0.409,0.7,Chemicals,Basic Materials,Specialty Chemicals,2026-05-22,Specialty Chemicals,0,1,1,86.3,84.93,97.69,85.85,85.61500000000001,88.05,ELITE GROWTH,55,80,98.14,96.27,99.69,98.25,96.49,99.56,66.66666666666666,98.67,88.63,90.98,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,86.82,Energy,0,73.68,28.23,1,85.89,1,17,A+,31.57,89.98,55.25330058335892,0.3451676528599606
BAJAJ-AUTO,2960001335296.0,MEGA CAP,10599.0,27.600843,7.6239734,0.28046,56.289,0.18642001,0.16507,0.488,1.031,Automobiles,Consumer Cyclical,Auto Manufacturers,2026-05-22,Passenger Vehicles,0,1,1,88.6,88.56,96.79,78.29,88.58,89.19,ELITE GROWTH,55,80,99.04,97.12,98.56,100.0,92.86,96.43,66.66666666666666,98.82,88.95,94.37,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,86.94,Energy,0,74.11,28.12,1,87.11,1,8,A+,31.46,90.74,55.908810844115834,0.3451676528599606
KPEL,24168892416.0,SMALL CAP,357.54998779296875,13.316573,4.6064157,0.3917303329949993,100.154,0.19368,0.12117,0.575,0.693,Industrials,Industrials,Engineering & Construction,2026-05-22,Engineering & EPC,0,1,1,90.75,84.76,99.51,79.19,87.755,89.25,ELITE GROWTH,62,60,100.0,94.68,97.34,100.0,94.68,97.34,66.66666666666666,98.12,88.45,87.06,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,76.64,Energy,0,73.88,29.14,1,82.17,1,41,A+,29.17,87.81,58.210142525687765,0.3451676528599606
ACUTAAS,242985287680.0,MID CAP,2967.89990234375,85.13769,14.69803,0.23516001,2.081,0.4018,0.26599002,0.403,1.056,Chemicals,Basic Materials,Specialty Chemicals,2026-05-22,Specialty Chemicals,0,1,1,85.82,88.75,95.34,93.06,87.285,89.47,ELITE GROWTH,53,80,98.76,95.03,99.69,99.12,94.74,99.56,66.66666666666666,98.63,88.52,87.91,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,86.79,Energy,0,73.37,29.17,1,84.87,1,36,A+,32.76,90.21,53.441943127962084,0.3287310979618673
VSTIND,43911806976.0,SMALL CAP,259.0,15.049391,3.4646513,0.21114,29.565,0.31738,0.19955999,0.309,1.195,Consumer,Consumer Defensive,Tobacco,2026-05-22,Tobacco,0,1,1,81.64,89.69,94.12,89.69,85.66499999999999,87.76,ELITE GROWTH,63,60,91.3,86.96,73.91,66.67,66.67,33.33,66.66666666666666,98.04,85.96,85.9,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,76.0,Energy,0,73.51,29.56,1,80.96,1,59,A+,29.43,86.87,57.09497206703911,0.3287310979618673
GODFRYPHLP,361082159104.0,MID CAP,2314.89990234375,23.669733,5.8120527,0.26593,3.757,0.16038999,0.16364,1.245,0.861,Consumer,Consumer Defensive,Tobacco,2026-05-22,Tobacco,0,1,1,96.2,86.93,96.24,73.86,91.565,90.73,ELITE GROWTH,55,70,95.65,78.26,86.96,100.0,33.33,83.33,66.66666666666666,98.28,85.4,87.13,1,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,80.92,Energy,0,72.8,31.36,1,82.28,1,40,A+,33.46,89.03,51.67150319210678,0.31229454306377386
BSE,1713905467392.0,LARGE CAP,4220.10009765625,80.0019,21.798489,0.36003,0.09106,0.67699,0.48729,1.051,0.64,Misc,Financial Services,Financial Data & Stock Exchanges,2026-05-22,Financial Data & Stock Exchanges,1,1,1,95.45,83.78,98.51,97.37,89.61500000000001,92.17,ELITE GROWTH,85,100,99.61,99.67,99.97,80.0,90.0,90.0,100.0,99.96,99.88,100.0,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,99.96,Energy,0,91.25,6.79,1,98.21,1,2,A+,8.74,96.8,100.0,0.2794890306145264
MCX,837453152256.0,LARGE CAP,3290.39990234375,63.070732,19.900688,0.37883,0.113,0.73859,0.54818,2.0,2.912,Misc,Financial Services,Financial Data & Stock Exchanges,2026-05-22,Financial Data & Stock Exchanges,1,1,1,98.04,95.06,98.82,97.69,96.55000000000001,97.12,ELITE GROWTH,85,100,99.94,99.67,99.97,100.0,90.0,90.0,100.0,100.0,99.94,100.0,1,INSTITUTIONAL ELITE,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,99.98,Energy,0,92.99,6.77,1,98.58,1,1,A+,8.72,98.63,100.0,0.2794890306145264
CEINSYS,19118176256.0,SMALL CAP,913.0999755859375,13.451679,2.4852817,0.24595,8.43,0.23495,0.19687,0.222,0.681,Industrials,Industrials,Engineering & Construction,2026-05-22,Engineering & EPC,0,1,1,73.57,84.56,95.69,83.7,79.065,82.85,HIGH GROWTH,55,60,95.74,92.55,97.34,95.74,92.55,97.34,66.66666666666666,96.87,86.99,83.83,0,INSTITUTIONAL STRONG BUY,WEAK MARKET,-28.21,MODERATE VOLATILITY,RISK ON,75.96,Energy,0,68.7,32.8,1,79.63,0,72,A,33.72,84.52,48.68663594470046,0.2794214332675871
